Raumeinheit;Ökologie-Score;Ökonomie-Score;Soziales-Score
Kiel;56.98;23.95;42.44
Lübeck;55.12;25.04;28.86
Hamburg;41.05;44.96;40.19
Braunschweig;62.13;65.49;49.4
Köln;43.61;30.88;42.69
Frankfurt am Main;34.38;68.54;30.99
Stuttgart;56.47;83.65;49.18
Karlsruhe;46.83;55.27;56.54
Heidelberg;71.43;49.93;100.0
München;47.73;76.47;72.77
Nürnberg;35.76;54.03;41.6
Berlin;46.82;12.31;25.68
Halle (Saale);69.11;3.56;21.65
